#	X	Y	Z
63	1	8	36	43
64	1	8	43	50
65	1	8	50	57
66	1	8	57	64
67	1	8	64	71
68	2	6	10	14
69	2	6	14	18
70	2	6	18	22
71	2	6	22	26
72	2	6	26	30
73	2	6	30	34
74	2	6	34	38
75	2	6	38	42
76	2	6	42	46
77	2	6	46	50
78	2	7	12	17
79	2	7	17	22
80	2	7	22	27
81	2	7	27	32
82	2	7	32	37
83	2	7	37	42
84	2	7	42	47
85	2	7	47	52
86	2	7	52	57
87	2	7	57	62
88	2	8	14	20
89	2	8	20	26
90	2	8	26	32
91	2	8	32	38
92	2	8	38	44
93	2	8	44	50
94	2	8	50	56
95	2	8	56	62
96	2	8	62	68
97	49	45	41	37
98	49	45	37	33
99	49	45	33	29
100	49	45	29	25
101	49	45	25	21
102	49	45	21	17
103	49	45	17	13
104	49	45	13	9
105	49	45	9	5
106	49	45	5	1
107	45	41	37	33
108	45	41	33	29
109	45	41	29	25
110	45	41	25	21
111	45	41	21	17
112	45	41	17	13
113	45	41	13	9
114	45	41	9	5
115	45	41	5	1
116	25	23	21	19
117	25	23	19	17
118	25	23	17	15
119	25	23	15	13
120	25	23	13	11
121	25	23	11	9
122	25	23	9	7
123	25	23	7	5
124	25	23	5	3
125	25	23	3	1
126	13	12	11	10
127	13	12	10	9
128	13	12	9	8
129	13	12	8	7
130	13	12	7	6
131	13	12	6	5
132	13	12	5	4
133	13	12	4	3
134	13	12	3	2
135	13	12	2	1
136	12	11	10	9
137	12	11	9	8
138	12	11	8	7
139	12	11	7	6
140	12	11	6	5
141	12	11	5	4
142	12	11	4	3
143	12	11	3	2
144	12	11	2	1
145	11	10	9	8
146	11	10	8	7
147	11	10	7	6
148	11	10	6	5
149	11	10	5	4
150	11	10	4	3
151	11	10	3	2
152	11	10	2	1
153	10	9	8	7
154	10	9	7	6
155	10	9	6	5
156	10	9	5	4
157	10	9	4	3
158	10	9	3	2
159	10	9	2	1
160	67	61	55	49
161	67	61	49	43
162	67	61	43	37
163	67	61	37	31
164	67	61	31	25
165	67	61	25	19
166	67	61	19	13
167	67	61	13	7
168	67	61	7	1
169	61	55	49	43
170	61	55	43	37
171	61	55	37	31
172	61	55	31	25
173	61	55	25	19
174	61	55	19	13
175	61	55	13	7
176	61	55	7	1
177	61	56	51	46
178	61	56	46	41
179	61	56	41	36
180	61	56	36	31
181	61	56	31	26
182	61	56	26	21
183	61	56	21	16
184	61	56	16	11
185	61	56	11	6
186	61	56	6	1
187	23	21	19	17
188	23	21	17	15
189	23	21	15	13
190	23	21	13	11
191	23	21	11	9
192	23	21	9	7
193	23	21	7	5
194	23	21	5	3
195	23	21	3	1
196	21	19	17	15
197	21	19	15	13
198	21	19	13	11
199	21	19	11	9
200	21	19	9	7
201	21	19	7	5
202	21	19	5	3
203	21	19	3	1
204	19	17	15	13
205	19	17	13	11
206	19	17	11	9
207	19	17	9	7
208	19	17	7	5
209	19	17	5	3
210	19	17	3	1
211	71	64	57	50
212	71	64	50	43
213	71	64	43	36
214	71	64	36	29
215	71	64	29	22
216	71	64	22	15
217	71	64	15	8
218	71	64	8	1
219	64	57	50	43
220	64	57	43	36
221	64	57	36	29
222	64	57	29	22
223	64	57	22	15
224	64	57	15	8
225	64	57	8	1
226	56	51	46	41
227	56	51	41	36
228	56	51	36	31
229	56	51	31	26
230	56	51	26	21
231	56	51	21	16
232	56	51	16	11
233	56	51	11	6
234	56	51	6	1
235	37	34	31	28
236	37	34	28	25
237	37	34	25	22
238	37	34	22	19
239	37	34	19	16
240	37	34	16	13
241	37	34	13	10
242	37	34	10	7
243	37	34	7	4
244	37	34	4	1
245	34	31	28	25
246	34	31	25	22
247	34	31	22	19
248	34	31	19	16
249	34	31	16	13
250	34	31	13	10
251	34	31	10	7
252	34	31	7	4
253	34	31	4	1
254	31	28	25	22
255	31	28	22	19
256	31	28	19	16
257	31	28	16	13
258	31	28	13	10
259	31	28	10	7
260	31	28	7	4
261	31	28	4	1
262	28	25	22	19
263	28	25	19	16
264	28	25	16	13
265	28	25	13	10
266	28	25	10	7
267	28	25	7	4
268	28	25	4	1
269	2	3	4	5
270	2	3	5	6
271	2	3	6	7
272	2	3	7	8
273	2	3	8	9
274	2	3	9	10
275	2	3	10	11
276	2	3	11	12
277	2	3	12	13
278	2	3	13	14
279	2	4	6	8
280	2	4	8	10
281	2	4	10	12
282	2	4	12	14
283	2	4	14	16
284	2	4	16	18
285	2	4	18	20
286	2	4	20	22
287	2	4	22	24
288	2	4	24	26
289	51	46	41	36
290	51	46	36	31
291	51	46	31	26
292	51	46	26	21
293	51	46	21	16
294	51	46	16	11
295	51	46	11	6
296	51	46	6	1
297	41	37	33	29
298	41	37	29	25
299	41	37	25	21
300	41	37	21	17
301	41	37	17	13
302	41	37	13	9
303	41	37	9	5
304	41	37	5	1
305	37	33	29	25
306	37	33	25	21
307	37	33	21	17
308	37	33	17	13
309	37	33	13	9
310	37	33	9	5
311	37	33	5	1
312	46	41	36	31
313	46	41	31	26
314	46	41	26	21
315	46	41	21	16
316	46	41	16	11
317	46	41	11	6
318	46	41	6	1
319	2	5	8	11
320	2	5	11	14
321	2	5	14	17
322	2	5	17	20
323	2	5	20	23
324	2	5	23	26
325	2	5	26	29
326	2	5	29	32
327	2	5	32	35
328	2	5	35	38
329	3	5	7	9
330	3	5	9	11
331	3	5	11	13
332	3	5	13	15
333	3	5	15	17
334	3	5	17	19
335	3	5	19	21
336	3	5	21	23
337	3	5	23	25
