A,B,M,N
14,23,20,18
14,23,18,19
15,24,16,23
15,24,23,17
15,24,17,22
15,24,22,18
15,24,18,21
15,24,21,19
15,24,19,20
16,25,17,24
16,25,24,18
16,25,18,23
16,25,23,19
16,25,19,22
16,25,22,20
16,25,20,21
17,26,18,25
17,26,25,19
17,26,19,24
17,26,24,20
17,26,20,23
17,26,23,21
17,26,21,22
18,27,19,26
18,27,26,20
18,27,20,25
18,27,25,21
18,27,21,24
18,27,24,22
18,27,22,23
19,28,20,27
19,28,27,21
19,28,21,26
19,28,26,22
19,28,22,25
19,28,25,23
19,28,23,24
20,29,21,28
20,29,28,22
20,29,22,27
20,29,27,23
20,29,23,26
20,29,26,24
20,29,24,25
21,30,22,29
21,30,29,23
21,30,23,28
21,30,28,24
21,30,24,27
21,30,27,25
21,30,25,26
22,31,23,30
22,31,30,24
22,31,24,29
22,31,29,25
22,31,25,28
22,31,28,26
22,31,26,27
23,32,24,31
23,32,31,25
23,32,25,30
23,32,30,26
23,32,26,29
23,32,29,27
23,32,27,28
24,33,25,32
24,33,32,26
24,33,26,31
24,33,31,27
24,33,27,30
24,33,30,28
24,33,28,29
25,34,26,33
25,34,33,27
25,34,27,32
25,34,32,28
25,34,28,31
25,34,31,29
25,34,29,30
26,35,27,34
26,35,34,28
26,35,28,33
26,35,33,29
26,35,29,32
26,35,32,30
26,35,30,31
27,36,28,35
27,36,35,29
27,36,29,34
27,36,34,30
27,36,30,33
27,36,33,31
27,36,31,32
28,37,29,36
28,37,36,30
28,37,30,35
28,37,35,31
28,37,31,34
28,37,34,32
28,37,32,33
29,38,30,37
29,38,37,31
29,38,31,36
29,38,36,32
29,38,32,35
29,38,35,33
29,38,33,34
30,39,31,38
30,39,38,32
30,39,32,37
30,39,37,33
30,39,33,36
30,39,36,34
30,39,34,35
31,40,32,39
31,40,39,33
31,40,33,38
31,40,38,34
31,40,34,37
31,40,37,35
31,40,35,36
32,41,33,40
32,41,40,34
32,41,34,39
32,41,39,35
32,41,35,38
32,41,38,36
32,41,36,37
33,42,34,41
33,42,41,35
33,42,35,40
33,42,40,36
33,42,36,39
33,42,39,37
33,42,37,38
34,43,35,42
34,43,42,36
34,43,36,41
34,43,41,37
34,43,37,40
34,43,40,38
34,43,38,39
35,44,36,43
35,44,43,37
35,44,37,42
