"clean_data.pseudoX","y","z","rho"
13.773,27.143,197.99,351.335
13.963,27.575,197.754,274.976
15.785,31.302,192.518,227.476
17.067,33.785,194.675,547.771
17.895,35.43,195.07,196.816
18.523,36.627,195.121,152.546
18.733,37.022,195.127,35.51
18.913,37.408,195.109,49.595
19.095,37.828,195.178,43.306
19.51,38.733,195.379,64.542
16.645,28.627,189.556,69.373
0.745,1.23,193.817,715.617
1.218,2.08,194.068,738.019
1.665,2.985,193.841,645.799
1.878,3.442,193.599,774.244
2.105,3.893,193.367,917.719
2.567,4.778,192.88,868.663
3.32,6.327,192.094,685.273
4.358,8.47,191.314,369.046
6.178,12.047,190.434,137.927
13.425,17.887,192.462,64.911
16.93,24.77,196.731,402.523
17.927,26.72,197.184,694.389
19.458,29.857,195.247,1598.894
17.702,22.005,191.595,391.002
19.73,21.95,197.172,286.22
20.218,22.968,198.244,454.739
20.415,23.37,198.671,1068.739
20.942,24.202,199.002,940.694
9.475,9.965,192.684,281.12
10.858,12.822,192.443,1288.044
13.812,18.677,189.41,16.765
13.055,12.633,188.907,178.154
10.762,3.64,192.524,539.674
11.838,5.885,193.788,393.473
12.052,6.327,194.052,258.129
12.502,7.207,194.377,344.878
12.948,8.092,194.206,282.325
12.28,15.94,192.37,16.616
15.785,22.823,196.124,139.397
17.157,25.525,195.91,281.755
18.273,27.758,194.138,338.416
15.925,18.607,191.124,124.127
15.43,13.368,192.497,3.246
18.667,20.165,197.344,69.606
19.065,20.963,197.999,574.543
18.028,8.875,191.755,19.844
20.485,13.92,194.112,9.923
21.532,6.52,192.175,33.466
15.37,21.5,190.705,1368.401
19.49,29.655,195.46,2203.264
20.56,31.713,195.494,750.803
21.272,33.123,194.732,459.545
18.712,23.6,190.166,357.86
18.9,19.798,191.324,251.134
22.57,27.16,196.663,869.691
23.2,28.238,197.229,911.576
23.528,28.913,197.431,1872.698
23.765,29.298,197.43,1461.367
0.745,1.23,194.089,624.733
1.218,2.08,193.825,556.755
1.435,2.522,193.578,783.245
1.648,2.98,193.336,774.945
2.218,4.093,192.734,773.027
2.895,5.43,192.026,583.05
3.628,6.97,191.471,354.896
4.795,9.375,190.552,283.588
20.945,23.515,191.87,143.988
9.67,0.982,190.172,175.327
16.095,13.85,187.049,18.775
15.543,8.27,188.095,325.899
13.465,-0.28,192.04,561.92
15.75,4.332,191.594,1353.338
18.125,9.002,190.479,262.712
18.652,5.32,189.692,579.655
13.94,18.773,192.039,37.935
17.672,26.088,196.564,535.51
20.158,30.995,194.957,486.045
17.803,21.985,192.01,356.272
18.005,18.23,193.498,107.381
20.733,23.852,197.735,173.506
20.93,24.255,198.163,520.487
21.2,24.645,198.501,711.815
21.475,25.03,198.746,968.713
17.192,16.03,191.672,140.04
20.26,17.74,190.213,67.091
23.183,19.372,196.129,92.056
24.952,22.678,195.59,806.829
26.377,25.392,193.657,132.489
23.77,15.652,191.085,119.519
16.268,23.323,187.914,12.781
20.08,30.855,193.103,799.564
21.358,33.388,194.249,606.934
22.27,35.197,193.898,287.833
23.082,36.87,193.612,288.364
20.13,26.532,188.753,100.142
19.523,21.03,187.763,4.565
22.935,27.95,192.843,300.817
24.503,30.855,194.703,403.645
25.515,32.752,195.16,182.529
16.505,14.8,191.099,1742.847
20.625,22.955,193.97,410.119
22.913,27.522,192.906,2224.953
20.652,18.605,190.394,208.8
23.56,20.213,196.574,355.416
26.445,25.568,194.085,328.148
23.992,16.048,191.747,412.784
23.488,10.537,192.581,7.368
18.232,18.485,190.799,857.674
22.26,26.427,194.655,788.118
23.915,29.762,193.67,312.987
21.747,21.058,190.112,439.783
21.347,15.99,191.278,39.301
25.257,23.795,195.764,112.774
26.852,26.665,196.289,810.876
27.887,28.705,194.672,828.238
25.492,19.382,190.606,640.765
24.913,13.63,191.354,23.181
18.843,19.697,189.658,343.393
22.963,27.852,193.705,751.686
24.735,31.402,192.964,229.722
22.388,22.252,189.088,471.393
22.537,18.157,190.928,315.374
27.463,27.877,195.655,900.439
28.188,29.26,194.848,362.405
27.115,22.598,191.944,634.741
26.515,16.86,191.055,21.249
16.365,23.612,187.216,8.075
20.178,31.145,192.432,264.097
21.357,33.425,193.843,294.268
23.172,37.085,193.31,194.226
21.51,29.44,189.753,15.914
21.185,24.548,189.237,31.796
23.142,28.613,192.574,71.616
23.985,30.075,193.74,222.057
25.065,31.962,194.526,219.77
17.88,17.582,191.691,374.951
21.908,25.525,194.984,764.452
21.042,19.525,190.417,275.341
20.525,14.242,192.293,19.931
24.218,21.595,196.427,695.786
26.318,25.508,195.499,1976.375
24.137,16.548,191.546,505.833
24.08,11.89,192.618,5.223
19.345,20.672,189.028,32.505
23.287,28.438,193.461,508.184
24.635,31.123,192.881,115.581
22.465,22.363,188.614,301.804
22.258,17.758,189.007,5.308
26.255,25.795,194.033,37.736
27.85,28.665,195.108,345.787
28.48,29.82,194.544,93.009
25.958,20.295,189.769,391.348
25.452,14.785,188.477,4.485
0.858,1.442,193.969,577.772
1.218,2.08,194.068,738.16
1.54,2.742,193.94,795.174
1.865,3.413,193.578,622.518
2.093,3.862,193.346,845.774
2.665,4.97,192.75,828.796
3.223,6.085,192.159,797.333
4.378,8.488,191.232,450.247
5.96,11.657,190.205,25.225
1.533,2.797,193.238,852.709
1.893,3.435,193.609,687.95
2.215,4.098,193.978,895.836
2.54,4.768,194.107,596.528
2.885,5.438,194.003,766.958
3.223,6.1,193.641,549.888
3.447,6.542,193.396,785.603
3.683,6.987,193.162,750.151
4.72,9.13,192.382,766.054
6.408,12.53,191.244,312.293
4.152,8.148,192.04,568.709
5.41,10.562,193.444,536.754
5.85,11.457,193.975,377.779
6.15,12.123,194.397,684.079
6.472,12.792,194.605,304.02
6.795,13.445,194.702,719.638
7.092,14.062,194.649,367.069
7.293,14.495,194.521,505.004
7.638,15.152,194.165,828.986
7.97,15.805,193.811,532.368
20.245,22.123,193.508,219.487
19.575,16.37,191.57,129.624
21.913,16.835,195.062,135.376
26.085,24.805,193.539,105.865
24.567,17.225,191.776,34.44
16.697,15.26,191.042,686.47
20.817,23.415,194.079,389.342
20.64,18.618,190.403,229.952
23.845,20.86,196.765,412.034
25.022,22.958,196.66,408.987
26.55,25.9,194.783,920.36
24.253,16.758,191.192,369.507
23.66,11.003,192.465,8.8
19.852,21.77,187.339,51.707
26.265,34.455,191.889,156.566
23.472,20.303,188.416,51.421
26.797,26.99,193.167,352.564
27.862,28.855,193.983,684.54
29.995,32.985,193.362,291.781
20.06,22.235,186.828,32.411
23.683,29.335,191.434,373.824
26.138,34.323,191.688,93.406
23.678,20.77,187.778,26.033
27.003,27.445,192.533,197.599
27.845,28.908,193.605,246.879
28.748,30.583,193.712,540.517
29.907,32.86,193.497,206.179
0.963,1.673,193.571,790.543
1.322,2.31,193.942,1356.763
1.665,2.985,194.082,654.898
1.99,3.655,193.972,887.836
2.323,4.335,193.614,669.276
2.56,4.778,193.373,809.697
3.013,5.662,192.893,888.879
3.97,7.645,192.093,681.696
4.898,9.565,191.421,531.853
6.83,13.365,190.2,156.951
7.14,14.15,191.282,4.213
9.325,18.485,194.146,8.102
10.18,20.222,195.462,17.875
10.525,20.938,195.896,77.376
10.86,21.573,196.448,63.867
11.178,22.185,196.826,40.489
11.492,22.798,196.95,56.691
11.8,23.393,196.908,48.494
12,23.798,196.902,11.115
12.467,24.64,196.628,3.48
7.977,15.82,191.58,6.876
10.507,20.87,194.879,2.146
11.485,22.788,196.37,1.417
11.802,23.4,196.975,45.086
12.117,24.012,197.606,75.929
12.425,24.608,197.958,441.479
12.74,25.2,198.16,196.703
13.09,25.825,198.01,714.666
13.335,26.267,197.764,341.976
13.773,27.15,197.225,216.132
9.07,17.905,191.949,11.983
11.818,23.358,195.642,2.21
12.695,25.088,197.101,161.332
13.102,25.893,197.94,847.486
13.417,26.485,198.576,569.246
13.767,27.11,198.921,808.006
14.123,27.768,198.802,935.245
14.43,28.418,198.443,1034.719
14.64,28.868,198.148,1220.082
14.948,29.49,197.495,1214.213
10.222,11.682,191.637,428.835
13.07,17.345,194.267,145.73
16.532,24.227,192.374,5.186
15.238,17.208,189.555,23.999
13.735,9.742,192.083,436.069
15.688,13.677,194.702,687.395
16.08,14.522,195.393,673.856
16.393,15.225,195.792,465.188
16.69,15.907,195.924,366.289
14.172,19.685,195.016,3.358
17.712,26.593,193.128,10.859
15.63,18.065,190.199,3.511
14.61,11.672,192.312,6.608
16.875,16.31,195.33,19.209
17.285,17.22,195.856,73.958
17.587,17.862,196.384,228.038
17.882,18.517,196.783,15.164
1.175,2.12,193.333,988.746
1.43,2.538,193.583,614.857
1.772,3.212,193.966,747.39
2.095,3.875,194.094,693.262
2.428,4.555,193.987,549.986
2.772,5.225,193.63,560.703
2.99,5.665,193.385,757.119
3.43,6.56,192.919,876.633
4.39,8.523,192.224,598.533
6.182,12.135,191.178,355.693
15.667,22.062,189.67,439.527
21.16,32.862,194.783,281.936
22.05,34.725,193.966,127.159
19.29,24.848,189.48,145.984
19.082,20.17,189.894,63.669
22.665,27.3,195.108,410.948
23.842,29.398,196.341,737.075
24.395,30.452,196.531,559.418
24.705,31.05,196.54,1330.276
11.86,15.065,191.942,18.995
14.805,20.88,195.349,25.99
16.7,24.638,195.488,164.777
18.79,28.843,193.447,345.458
16.34,19.5,190.431,119.338
15.43,13.355,192.515,3.883
18.477,19.73,196.933,34.517
18.76,20.34,197.561,501.66
19.065,20.963,197.999,572.521
8.082,16.085,192.162,5.068
10.495,20.902,195.304,2.069
11.052,21.992,196.023,1.8
11.388,22.628,196.575,85.023
12.01,23.8,197.605,220.334
12.328,24.455,197.8,766.206
12.642,25.048,197.765,851.948
12.885,25.46,197.613,234.646
13.24,26.118,197.247,104.92
8.54,16.873,191.621,7.162
11.177,22.128,195.104,1.725
12.242,24.21,196.751,13.932
12.668,25.02,197.593,502.968
13.3,26.267,198.699,789.71
13.66,26.898,198.683,792.403
14.015,27.555,198.316,892.208
14.205,27.988,198.081,863.631
14.5,28.615,197.547,843.214
11.59,22.897,188.99,407.161
15.213,29.997,194.211,265.798
16.388,32.275,196.185,462.958
16.885,33.33,196.462,548.655
17.295,34.145,196.498,586.331
17.615,34.72,196.507,1154.56
17.935,35.295,196.284,87.96
18.22,35.908,195.876,144.409
18.51,36.55,195.359,36.417
18.702,37.012,195.103,59.403
14.63,20.102,190.185,618.031
20.048,30.672,195.724,475.261
18.573,23.46,190.172,412.223
18.365,18.783,191.11,144.305
21.888,25.925,196.316,850.077
22.73,27.387,197.483,1021.739
23.085,28.08,197.806,1675.959
23.42,28.715,197.873,50.474
14.238,10.16,190.492,67.446
18.798,14.848,189.115,88.74
17.693,8.215,192.104,2066.076
19.745,12.37,193.974,870.877
20.755,14.558,194.338,163.841
22.382,17.77,194.024,19.313
24.055,20.835,191.887,14.701
22.123,12.28,189.884,68.423
20.98,5.443,192.309,889.984
16.045,13.753,191.171,558.325
19.987,17.18,189.636,39.661
18.975,10.787,192.032,13.531
22.705,18.352,195.485,107.243
24.165,21.06,195.098,191.495
25.675,23.995,192.54,136.64
24.265,16.613,190.77,31.268
23.14,9.765,193.239,2.33
10.82,12.985,191.744,22.395
13.668,18.648,194.641,10.152
14.85,20.952,195.263,6.126
17.038,25.31,193.032,4.048
15.547,17.845,189.663,2.64
14.225,10.785,192.118,67.963
16.475,15.408,195.111,249.178
16.887,16.322,195.66,100.585
17.185,17.017,196.133,195.531
17.488,17.66,196.402,39.889
15.75,22.32,187.645,7.591
19.255,29.202,192.528,308.978
20.84,32.295,194.213,1083.787
21.878,34.335,194.156,191.864
22.69,36.007,193.83,259.932
20.118,26.557,188.964,58.364
19.7,21.477,188.739,7.431
23.282,28.595,193.948,357.936
24.552,30.88,195.38,337.439
25.197,32.112,195.455,127.194
11.525,14.433,191.81,14.563
14.47,20.248,195.151,13.23
16.227,23.678,195.816,220.343
17.902,26.977,194.206,328.342
15.733,18.217,190.739,122.464
15.038,12.503,192.252,3.493
18.668,20.165,197.553,416.394
19.938,30.517,195.907,217.727
21.038,32.767,195.025,509.683
18.778,23.85,190.12,356.329
18.562,19.225,190.589,22.721
21.887,25.913,195.545,559.583
22.92,27.812,196.979,1033.997
23.505,28.93,197.439,1941.599
23.85,29.512,197.437,1194.972
17.702,17.385,190.577,114.923
21.925,25.733,194.074,316.44
21.645,20.848,190.156,274.397
21.155,15.56,191.508,18.946
24.738,22.677,195.966,67.678
26.08,25.202,196.899,408.557
27.023,27.038,195.659,463.806
25.32,18.943,191.449,443.175
25.255,14.26,192.443,11.104
19.148,20.28,189.446,178.974
22.96,27.812,193.775,784.357
24.5,30.96,193.089,232.213
22.875,23.34,189.162,338.707
22.977,19.298,190.9,154.114
26.343,25.975,195.406,982.097
27.435,27.82,195.487,687.541
28.378,29.655,194.678,215.031
25.983,20.332,189.919,498.743
25.278,14.365,188.904,12.718
15.065,11.832,190.821,9.813
18.6,14.37,189.439,20.505
17.905,8.655,191.958,383.55
20.267,13.5,194.095,179.248
20.96,15.04,194.371,5.024
22.992,14.047,189.67,39.241
21.657,6.758,192.732,435.456
19.968,21.915,188.141,100.404
26.065,34.008,191.955,167.267
22.98,19.202,188.162,8.982
26.502,26.345,193.114,496.116
29.487,31.92,193.849,281.446
30.005,32.98,193.329,354.65
11.55,14.462,191.973,14.304
14.705,20.72,195.343,95.451
16.32,23.845,195.396,340.358
18.2,27.607,193.047,206.696
15.945,18.67,190.024,61.113
14.835,12.05,192.287,1.406
17.975,18.705,196.774,3.282
18.273,19.323,197.169,30.118
12.142,15.707,192.035,12.407
15.52,22.365,196.036,86.661
17.44,26.075,195.953,543.768
18.98,29.222,193.76,314.041
16.42,19.7,190.705,130.729
15.628,13.77,192.478,2.89
18.865,20.568,197.325,66.451
19.468,21.785,198.358,677.549
15.645,22.115,188.18,6.835
19.15,28.998,193.044,277.579
20.625,31.893,194.484,1200.65
21.74,34.125,194.267,174.239
19.29,24.783,189.145,2405.129
18.795,19.543,187.873,5.701
22.465,26.905,193.211,247.095
23.99,29.87,195.601,231.994
24.66,31.11,195.788,164.372
25.208,32.092,195.794,63.059
10.233,2.092,190.201,142.682
16.475,14.485,188.179,22.989
16.15,9.395,189.156,54.711
14.35,1.5,192.359,560.435
15.125,3.058,192.286,256.405
16.9,6.768,191.624,915.774
20.098,13.062,188.721,7.6
19.415,6.828,189.216,436.032
17.095,-2.418,193.183,618.841
12.18,6.035,190.385,63.984
15.685,12.918,191.122,76.898
18.245,17.907,189.31,83.362
17.385,11.822,189.606,546.272
16.02,4.82,192.428,323.998
17.398,7.65,192.709,395.474
18.737,10.468,192.451,231.009
20.828,14.448,190.817,22.689
20.272,8.433,190.289,243.046
18.637,0.667,192.61,568.743
9.53,9.838,189.441,314.022
11.858,14.428,190.549,85.094
13.558,17.898,190.622,7.578
14.853,20.407,191.573,285.134
16.625,23.86,191.095,326.885
15.627,17.57,184.866,258.61
14.508,10.965,191.143,299.475
16.118,14.232,190.469,86.876
16.628,15.355,190.409,24.118
2.245,-0.17,193.222,333.358
2.718,0.68,193.132,830.49
3.72,2.678,192.374,805.007
4.805,4.908,191.284,596.828
7.665,10.7,189.647,11.743
8.995,8.905,189.033,636.327
6.037,-1.415,193.107,616.997
6.48,-0.527,192.73,723.023
5.237,5.862,191.837,583.765
6.495,8.278,192.903,484.134
7.45,10.275,193.463,406.055
7.972,11.345,193.472,496.442
9.678,14.735,192.897,712.4
11.722,18.745,191.331,1424.16
11.438,13.825,189.419,316.178
9.36,5.275,192.76,430.446
8.418,12.44,190.912,1.137
10.83,17.258,193.586,10.394
11.9,19.445,195.093,64.253
12.235,20.08,195.414,883.869
12.86,21.288,195.808,24.74
13.083,12.898,192.612,3.445
