A,B,M,N
2,8,38,44
2,8,44,50
2,8,50,56
2,8,56,62
56,62,61,57
56,62,57,50
56,62,50,44
56,62,44,38
56,62,38,32
56,62,32,26
56,62,26,20
56,62,20,14
56,62,14,8
56,62,8,2
2,9,3,8
2,9,8,16
2,9,16,23
2,9,23,30
2,9,30,37
2,9,37,44
2,9,44,51
2,9,51,58
2,9,58,65
2,9,65,72
65,72,71,66
65,72,66,58
65,72,58,51
65,72,51,44
65,72,44,37
65,72,37,30
65,72,30,23
65,72,23,16
65,72,16,9
65,72,9,2
2,38,4,36
2,38,36,6
2,38,6,34
2,38,34,8
2,38,8,32
2,38,32,10
2,38,10,30
2,38,30,12
2,38,12,28
2,38,28,14
2,40,4,38
2,40,38,6
2,40,6,36
2,40,36,8
2,40,8,34
2,40,34,10
2,40,10,32
2,40,32,12
2,40,12,30
2,40,30,14
2,42,5,39
2,42,39,8
2,42,8,36
2,42,36,11
2,42,11,33
2,42,33,14
2,42,14,30
2,42,30,17
2,42,17,27
2,42,27,20
2,44,5,41
2,44,41,8
2,44,8,38
2,44,38,11
2,44,11,35
2,44,35,14
2,44,14,32
2,44,32,17
2,44,17,29
2,44,29,20
2,46,5,43
2,46,43,8
2,46,8,40
2,46,40,11
2,46,11,37
2,46,37,14
2,46,14,34
2,46,34,17
2,46,17,31
2,46,31,20
2,48,5,45
2,48,45,8
2,48,8,42
2,48,42,11
2,48,11,39
2,48,39,14
2,48,14,36
2,48,36,17
2,48,17,33
2,48,33,20
2,50,5,47
2,50,47,8
2,50,8,44
2,50,44,11
2,50,11,41
2,50,41,14
2,50,14,38
2,50,38,17
2,50,17,35
2,50,35,20
2,52,5,49
2,52,49,8
2,52,8,46
2,52,46,11
2,52,11,43
2,52,43,14
2,52,14,40
2,52,40,17
2,52,17,37
2,52,37,20
2,54,5,51
2,54,51,8
2,54,8,48
2,54,48,11
2,54,11,45
2,54,45,14
2,54,14,42
2,54,42,17
2,54,17,39
2,54,39,20
2,56,5,53
2,56,53,8
2,56,8,50
2,56,50,11
2,56,11,47
2,56,47,14
2,56,14,44
2,56,44,17
2,56,17,41
2,56,41,20
2,58,6,54
2,58,54,10
2,58,10,50
2,58,50,14
2,58,14,46
2,58,46,18
2,58,18,42
2,58,42,22
2,58,22,38
2,58,38,26
2,60,6,56
2,60,56,10
2,60,10,52
2,60,52,14
2,60,14,48
2,60,48,18
2,60,18,44
2,60,44,22
2,60,22,40
2,60,40,26
2,62,6,58
2,62,58,10
2,62,10,54
2,62,54,14
2,62,14,50
2,62,50,18
2,62,18,46
2,62,46,22
2,62,22,42
2,62,42,26
2,64,6,60
2,64,60,10
2,64,10,56
2,64,56,14
2,64,14,52
2,64,52,18
2,64,18,48
2,64,48,22
2,64,22,44
2,64,44,26
2,66,6,62
2,66,62,10
2,66,10,58
2,66,58,14
2,66,14,54
2,66,54,18
2,66,18,50
2,66,50,22
2,66,22,46
2,66,46,26
2,68,6,64
2,68,64,10
2,68,10,60
2,68,60,14
2,68,14,56
2,68,56,18
2,68,18,52
2,68,52,22
2,68,22,48
2,68,48,26
2,70,6,66
2,70,66,10
2,70,10,62
2,70,62,14
2,70,14,58
2,70,58,18
2,70,18,54
2,70,54,22
2,70,22,50
2,70,50,26
2,72,6,68
2,72,68,10
2,72,10,64
2,72,64,14
2,72,14,60
2,72,60,18
2,72,18,56
2,72,56,22
2,72,22,52
3,4,5,6
3,4,6,7
3,4,7,8
3,4,8,9
3,4,9,10
3,4,10,11
3,4,11,12
3,4,12,13
3,4,13,14
3,4,14,15
14,15,16,17
14,15,17,18
14,15,18,19
14,15,19,20
14,15,20,21
14,15,21,22
14,15,22,23
