Name,x,y,z
297,40.7,11.98,199.11
298,39.79,12.51,199.13
299,38.95,13.01,199.13
300,38.08,13.51,199.14
301,37.25,13.97,199.16
302,36.39,14.52,199.18
303,35.44,14.91,199.16
304,34.76,15.47,199.2
305,33.73,15.9,199.17
306,32.88,16.41,199.2
307,31.95,16.88,199.19
308,31.08,17.24,199.19
309,30.19,17.68,199.18
310,29.34,18.18,199.19
311,28.45,18.64,199.2
312,27.55,19.11,199.21
313,26.64,19.54,199.21
314,25.77,20.04,199.23
315,24.92,20.47,199.24
316,24.04,20.88,199.21
317,23.16,21.43,199.23
318,22.29,21.87,199.21
319,21.41,22.38,199.22
320,20.53,22.85,199.23
321,19.72,23.37,199.23
322,18.83,23.87,199.25
323,17.97,24.37,199.25
324,17.07,24.81,199.26
325,16.2,25.31,199.26
326,15.32,25.83,199.26
327,14.5,26.27,199.25
328,13.54,26.6,199.23
329,12.68,27.18,199.24
330,11.84,27.66,199.24
331,10.93,28.09,199.23
332,10.03,28.55,199.23
333,9.18,29.03,199.21
334,8.29,29.46,199.21
335,7.43,29.96,199.21
336,6.47,30.45,199.22
337,54.02,18.19,195.58
338,53.15,18.66,195.56
339,52.3,19.14,195.57
340,51.42,19.65,195.57
341,50.57,20.14,195.54
342,49.63,20.58,195.57
343,48.79,21.12,195.58
344,47.9,21.58,195.6
345,46.94,22.06,195.59
346,46.15,22.52,195.6
347,45.25,22.94,195.6
348,44.39,23.38,195.6
349,43.5,23.79,195.59
350,42.61,24.18,195.59
351,41.7,24.62,195.58
352,40.86,25.2,195.59
353,40.08,25.84,195.59
354,39.18,26.26,195.62
355,38.26,26.64,195.61
356,37.32,27.06,195.6
357,36.57,27.62,195.6
358,35.65,28.09,195.62
359,34.75,28.52,195.63
360,33.92,29.03,195.62
361,33.01,29.52,195.6
362,32.18,30.06,195.62
363,31.37,30.58,195.61
364,30.47,30.97,195.62
365,29.48,31.57,195.61
366,28.77,31.96,195.64
367,27.81,32.38,195.61
368,26.92,32.8,195.61
369,26.04,33.27,195.64
370,25.22,33.85,195.64
371,24.37,34.38,195.63
372,23.56,34.82,195.61
373,22.64,35.31,195.63
374,21.76,35.83,195.62
375,20.93,36.33,195.61
376,20.03,36.77,195.62
377,18.95,37.25,195.61
378,18.29,37.76,195.59
379,17.41,38.24,195.58
380,16.49,38.67,195.57
381,15.66,39.1,195.59
382,14.75,39.57,195.59
383,13.85,40.01,195.58
384,12.98,40.5,195.57
